city,ZipCode,Price,HospitalDistance,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Latitude,Longtitude
Melsiripura,60540,247500,3,3,0.4,,3/25/2026,0.2,0,0,7.6256,80.4682
Moratuwa,10400,1050000,0.85,0.8,0.6,,3/25/2026,0.2,0,1,6.773,79.8816
Mount Lavinia,10370,3800000,4.5,4.5,0.8,,3/25/2026,0.6,0,1,6.8398,79.8653
Navinna,10280,2100000,3,3,0.5,,3/25/2026,0.7,0,0,6.855,79.9125
Negombo,11500,950000,1.5,1.5,0.5,,3/25/2026,4,0,1,7.2096,79.8384
Nugegoda,10250,4500000,2.5,1.3,0.6,,3/25/2026,0.2,0,0,6.8718,79.8885
Padukka,10500,500000,0.5,1.5,0.9,,3/25/2026,0.6,0,0,6.8394,80.1118
Padukka,10500,225000,0.5,1.5,0.9,,3/25/2026,2.5,0,0,6.8394,80.1118
Pannipitiya,10230,1500000,0.5,4.5,0.8,,3/24/2026,1.5,0,0,6.8462,79.9448
Pannipitiya,10230,1750000,0.5,0.3,0.8,,3/25/2026,0.1,0,0,6.8462,79.9448
Pannipitiya,10230,2200000,4.5,4.3,0.8,,3/25/2026,0.3,0,0,6.8462,79.9448
Piliyandala,10300,10294,1,1,0.4,,3/25/2026,0.2,0,0,6.7999,79.9249
Piliyandala,10300,892308,0.35,0.8,0.4,,3/25/2026,5,1,0,6.7999,79.9249
Piliyandala,10300,1300000,1,1,0.8,,3/25/2026,0.2,1,0,6.7999,79.9249
Piliyandala,10300,1650000,0.35,1,0.4,,3/25/2026,0.6,0,0,6.7999,79.9249
Piliyandala,10300,1401870,1,1,0.4,,3/25/2026,0.2,0,0,6.7999,79.9249
Polgahawela,60300,187500,0.5,1.5,1.2,,3/25/2026,1,0,0,7.3381,80.3003
Polwatta,10120,2200000,5,5,1.5,,3/25/2026,0.7,0,0,6.886,79.923
Rajagiriya,10107,3000000,3.5,3.5,0.4,,3/25/2026,0.4,0,0,6.909,79.8974
Rajagiriya,10107,5500000,3.5,3.5,0.5,,3/25/2026,0.3,0,0,6.909,79.8974
Rajagiriya,10107,2500000,3.5,3.5,0.5,,3/25/2026,0.2,0,0,6.909,79.8974
Wellampitiya,10600,4200000,4.5,4.5,0.6,,3/25/2026,0.4,0,0,6.9402,79.8872
Malabe,10115,"1,575,000",2.3,2.5,1.5,,26-Mar,0.6,0,0,6.9061,79.9696
Rathmalana,10390,"2,950,000",1.5,1.8,1.2,,11-Mar,0.3,0,0,6.8195,79.8736
Pannipitiya,10230,"2,375,000",1.8,2.1,0.8,,26-Mar,0.5,0,0,6.8464,79.9484
Athurugiriya,10150,"1,100,000",1.4,3.2,0.9,,26-Mar,2.2,0,0,6.8723,80.0004
Piliyandala,10300,"1,575,000",0.8,1,1.2,,26-Mar,1.5,1,0,6.8018,79.9227
Athurugiriya,10150,"2,750,000",1,3.4,0.6,,26-Mar,0.6,0,0,6.8723,80.0004
Kahathuduwa,10300,"720,000",1.5,2.5,1.4,,26-Mar,1.2,0,0,6.7823,79.9948
Piliyandala,10300,"1,250,000",1.2,1.2,1.5,,26-Mar,1.7,0,0,6.8018,79.9227
Malabe,10115,"1,400,000",2.5,2.4,1.4,,26-Mar,0.8,0,0,6.9061,79.9696
Piliyalnada,10300,"1,575,000",0.7,1.4,1.2,,26-Mar,1.4,0,0,6.8018,79.9227
Piliyandala,10300,"1,575,000",0.8,1.1,1.1,,26-Mar,1.5,1,0,6.8018,79.9227
Kotte,10100,"5,750,000",0.9,1.4,1.2,,26-Mar,0.4,0,0,6.8839,79.9019
Maharagama,10280,"1,800,000",0.8,1.2,0.9,,26-Mar,0.8,0,0,6.8511,79.9212
Homagama,10200,"1,450,000",0.6,1.4,0.8,,26-Mar,0.4,0,0,6.8456,80.0036
